Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Final_Marks
S001,2.0,65,55,60,58
S002,3.0,70,60,65,63
S003,4.0,75,65,70,68
S004,5.0,80,70,75,74
S005,6.0,85,75,80,80
S006,7.0,90,80,85,86
S007,8.0,92,85,90,91
S008,9.0,95,90,92,95
S009,1.5,60,50,55,53
S010,2.5,68,58,62,61
S011,3.5,72,62,68,66
S012,4.5,78,68,72,72
S013,5.5,82,73,78,77
S014,6.5,87,78,83,83
S015,7.5,91,83,88,89
S016,8.5,94,88,91,93
S017,9.5,97,93,95,98
S018,2.0,66,57,61,59
S019,3.0,71,61,66,64
S020,4.0,76,66,71,69
S021,5.0,81,71,76,75
S022,6.0,86,76,81,81
S023,7.0,89,81,86,87
S024,8.0,93,86,90,92
S025,9.0,96,91,94,96
S026,1.0,55,45,50,48
S027,2.5,64,54,59,57
S028,3.5,73,63,67,67
S029,4.5,77,67,73,71
S030,5.5,83,74,79,78
S031,6.5,88,79,84,84
S032,7.5,90,84,87,88
S033,8.5,95,89,92,94
S034,9.5,98,94,96,99
S035,1.5,58,49,53,51
S036,2.5,69,59,63,62
S037,3.5,74,64,69,67
S038,4.5,79,69,74,73
S039,5.5,84,74,80,79
S040,6.5,86,80,84,84
S041,7.5,92,84,89,90
S042,8.5,94,89,93,94
S043,9.5,97,94,96,98
S044,2.0,63,52,58,56
S045,3.0,72,62,67,65
S046,4.0,77,67,72,71
S047,5.0,82,72,77,76
S048,6.0,85,77,82,81
S049,7.0,91,82,87,88
S050,8.0,94,87,91,93
S051,9.0,96,92,94,97
S052,1.0,57,47,51,49
S053,2.5,67,56,61,60
S054,3.5,71,61,66,65
S055,4.5,80,69,74,73
S056,5.5,83,74,79,78
S057,6.5,89,79,84,85
S058,7.5,92,84,89,90
S059,8.5,95,89,93,95
S060,9.5,98,94,97,99
S061,2.0,64,54,59,58
S062,3.0,70,60,65,64
S063,4.0,75,65,70,69
S064,5.0,81,71,76,75
S065,6.0,86,76,81,82
S066,7.0,90,81,86,87
S067,8.0,93,86,90,92
S068,9.0,96,91,94,97
S069,1.5,59,50,54,52
S070,2.5,68,58,63,61
S071,3.5,73,63,68,67
S072,4.5,78,68,73,72
S073,5.5,84,74,79,79
S074,6.5,88,79,84,85
S075,7.5,91,84,89,90
S076,8.5,95,89,93,95
S077,9.5,98,94,97,99
S078,2.0,62,53,58,56
S079,3.0,71,61,66,65
S080,4.0,76,66,71,70
S081,5.0,82,72,77,76
S082,6.0,86,77,82,82
S083,7.0,90,82,87,88
S084,8.0,94,87,91,93
S085,9.0,97,92,95,98
S086,1.5,56,48,52,50
S087,2.5,66,57,62,60
S088,3.5,72,62,67,66
S089,4.5,79,68,73,72
S090,5.5,84,74,79,79
S091,6.5,87,79,84,85
S092,7.5,92,84,89,90
S093,8.5,95,89,93,95
S094,9.5,98,94,97,99
S095,2.0,65,55,60,59
S096,3.0,70,60,65,64
S097,4.0,77,66,71,70
S098,5.0,81,71,76,76
S099,6.0,85,76,81,82
S100,7.0,90,81,86,87
